t=2026-01-08T17:57:38+0200 lvl=info msg="join connections" obj=join id=f0e3a176a69f l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:57:38+0200 lvl=info msg="join connections" obj=join id=d34de9a4306c l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:57:38+0200 lvl=info msg="join connections" obj=join id=f9afeac477b7 l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:57:38+0200 lvl=info msg="join connections" obj=join id=303e3da78eab l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:57:38+0200 lvl=info msg="join connections" obj=join id=d29be05ca6bf l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:57:39+0200 lvl=info msg="join connections" obj=join id=246c4dedbb39 l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:57:39+0200 lvl=info msg="join connections" obj=join id=3247d997e0ab l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:57:44+0200 lvl=info msg="join connections" obj=join id=fc9e234baa13 l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:57:44+0200 lvl=info msg="join connections" obj=join id=8a077c74b05e l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:57:44+0200 lvl=info msg="join connections" obj=join id=05d5099aff8e l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:57:44+0200 lvl=info msg="join connections" obj=join id=455c0c7bcf57 l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:57:45+0200 lvl=info msg="join connections" obj=join id=e0fe88839ef3 l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:57:46+0200 lvl=info msg="join connections" obj=join id=da08cf1d82de l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:57:56+0200 lvl=info msg="join connections" obj=join id=96ffe1456b2b l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:57:57+0200 lvl=info msg="join connections" obj=join id=12e10b44ecd8 l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:57:57+0200 lvl=info msg="join connections" obj=join id=431d9e2ff9f3 l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:57:57+0200 lvl=info msg="join connections" obj=join id=085faf52d54b l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:57:57+0200 lvl=info msg="join connections" obj=join id=7df37162154f l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:57:57+0200 lvl=info msg="join connections" obj=join id=bfe716d82fb3 l=127.0.0.1:3000 r=41.216.86.42:30058
t=2026-01-08T17:58:34+0200 lvl=info msg="join connections" obj=join id=d8b237e461aa l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:58:41+0200 lvl=info msg="join connections" obj=join id=7e30af43e0a8 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:58:41+0200 lvl=info msg="join connections" obj=join id=4e28d0cb8184 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:58:53+0200 lvl=info msg="join connections" obj=join id=c5ea7c368b36 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:58:53+0200 lvl=info msg="join connections" obj=join id=c1ffd6ee3b8e l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:06+0200 lvl=info msg="join connections" obj=join id=d564992cf9bd l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:06+0200 lvl=info msg="join connections" obj=join id=c532c45b976a l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:06+0200 lvl=info msg="join connections" obj=join id=f3fa948b5139 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:06+0200 lvl=info msg="join connections" obj=join id=fadc68368dac l=127.0.0.1:3000 r=41.216.86.42:20022
